Measured Depth m,Average Rotary Speed rpm,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,Corrected Hookload kkgf,Mud Density Out g/cm3,Average Hookload kkgf,Total Hookload kkgf,ROPIH s/m,Lag Depth (TVD) m,Total Vertical Depth m,Mud Density In g/cm3,Mud Density In g/cm3.1,Averaged WOB kkgf,Hole Depth (TVD) m
822.503,104.0,170.37927320414,,90.87405618291,,90.87405618291,107.42836331843,97.0472440944882,,,,1.19826420479462,,788.1250176
822.5239999999999,,,,,,,,,,,,,,788.1417816000001
822.576,,,,,,,,,,,,,,788.1820152
822.655,104.0,170.40331359975,3125.0,91.0541323538,,91.0541323538,107.42836331843,98.42519685039368,,,,1.19826420479462,,788.24328
822.68,,,,,,,,,,,,,,788.2621776000001
822.725,,,,,,,,,,,,,,788.2978392000001
822.737,,,,,,,,,,,,,,788.307288
822.7410000000001,,,,,,,,,,,,,,788.3097263999999
822.7710000000001,,,,,,,,,,,,,,788.333196
822.808,111.318,170.4282611801,3125.0,96.58115538225,,96.58115538225,107.42836331843,422.637795275591,,,,1.19826420479462,,788.3615424
822.823,,,,,,,,,,,,,,788.3734296
822.905,,,,,,,,,,,,,,788.4374376000001
822.96,143.0,170.4464048749,,99.56624676922,,99.56624676922,107.42836331843,61.4173228346457,,,,1.19826420479462,,788.4798047999999
822.9810000000001,,,,,,,,,,,,,,788.4965687999999
823.0,,,,,1.20000004768372,,,,790.2000122070309,790.2000122070309,1.20000004768372,,4.46635712954058,
823.054,,,,,,,,,,,,,,788.5532616
823.112,143.2,170.33663552136002,,98.57424025603,,98.57424025603,107.42836331843,68.503937007874,,,,1.19826420479462,,788.5980672000001
823.125,,,,,,,,,,,,,,788.607516
823.198,,,,,,,,,,,,,,788.6642088
823.262,,,,,,,,,,,,,,788.7138912
823.265,143.435,170.3602223246,,98.54067442065,,98.54067442065,107.42836331843,73.8188976377953,,,,1.19826420479462,,788.7163296
823.329,,,,,,,,,,,,,,788.766012
823.4169999999999,143.0,170.38380912783998,3085.938,98.39416408514,,98.39416408514,107.42836331843,82.6771653543307,,,,1.19826420479462,,788.834592
823.445,,,,,,,,,,,,,,788.8556232000001
823.503,,,,,,,,,,,,,,788.9007336
823.567,,,,,,,,,,,,,,788.9501112
823.57,143.4,170.40648874634,,98.45585264746,,98.45585264746,107.42836331843,81.6929133858268,,,,1.19826420479462,,788.9525496
823.6310000000001,,,,,,,,,,,,,,788.9997936000001
823.688,,,,,,,,,,,,,,789.0445992000001
823.722,143.32,170.43007554958,,98.08844282776,,98.08844282776,107.42836331843,81.1023622047244,,,,1.19826420479462,,789.070812
823.7489999999999,,,,,,,,,,,,,,789.0918432
823.8710000000001,,,,,,,,,,,,,,789.1863312
823.8739999999999,143.385,170.45411594518998,3085.938,98.21771665321,,98.21771665321,107.42836331843,85.43307086614179,,,,1.19826420479462,,789.1887696
823.935,,,,,,,,,,,,,,789.2360136
823.9989999999999,,,,,1.20000004768372,,,,791.02001953125,791.02001953125,1.20000004768372,,6.24066310672766,789.285696
824.0269999999999,143.0,170.47679556369,,98.32839319149,,98.32839319149,107.42836331843,80.1181102362205,,,,1.19826420479462,,789.307032
824.06,,,,,,,,,,,,,,789.33294
824.1210000000001,,,,,,,,,,,,,,789.380184
824.179,143.32,170.50038236693,,98.06803117111,,98.06803117111,107.42836331843,81.8897637795276,,,,1.19826420479462,,789.4249896000001
824.188,,,,,,,,,,,,,,789.432
824.2460000000001,,,,,,,,,,,,,,789.4768056
824.332,143.0,170.5235155778,3125.0,98.43090506711,,98.43090506711,107.42836331843,83.2677165354331,,,,1.19826420479462,,789.5429472
824.365,,,,,,,,,,,,,,789.5688552
824.426,,,,,,,,,,,,,,789.6160992
824.4810000000001,,,,,,,,,,,,,,789.6587712
824.4839999999999,143.385,170.54710238104,,98.2299636472,,98.2299636472,107.42836331843,86.41732283464572,,,,1.19826420479462,,789.6609047999999
824.5419999999999,,,,,,,,,,,,,,789.7057103999999
824.6,,,,,,,,,,,,,,789.7505160000001
